imageURNList	folioURN
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_088_0419-corr	urn:cite:botcar:CatesbyHS212.088
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_089_0416	urn:cite:botcar:CatesbyHS212.089
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_089_0416-corr	urn:cite:botcar:CatesbyHS212.089
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_090_0421	urn:cite:botcar:CatesbyHS212.090
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_090_0421-corr	urn:cite:botcar:CatesbyHS212.090
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_091_0414	urn:cite:botcar:CatesbyHS212.091
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_091_0414-corr	urn:cite:botcar:CatesbyHS212.091
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_092_0418	urn:cite:botcar:CatesbyHS212.092
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_092_0418-corr	urn:cite:botcar:CatesbyHS212.092
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_093_0415	urn:cite:botcar:CatesbyHS212.093
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_093_0415-corr	urn:cite:botcar:CatesbyHS212.093
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_094_0408	urn:cite:botcar:CatesbyHS212.094
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_094_0408-corr	urn:cite:botcar:CatesbyHS212.094
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_095_0409	urn:cite:botcar:CatesbyHS212.095
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_095_0409-corr	urn:cite:botcar:CatesbyHS212.095
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_096_0413	urn:cite:botcar:CatesbyHS212.096
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_096_0413-corr	urn:cite:botcar:CatesbyHS212.096
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_bf_0410	urn:cite:botcar:CatesbyHS212.bf
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_sp_0412	urn:cite:botcar:CatesbyHS212.sp
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_fc_0515	urn:cite:botcar:CatesbyHS232.fc
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_fc_0516	urn:cite:botcar:CatesbyHS232.fc
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_fc_0661	urn:cite:botcar:CatesbyHS232.fc
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_fc_0662	urn:cite:botcar:CatesbyHS232.fc
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_fc_0662-corr	urn:cite:botcar:CatesbyHS232.fc
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_title_0655	urn:cite:botcar:CatesbyHS232.title
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_title_0657	urn:cite:botcar:CatesbyHS232.title
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_title_0655-corr	urn:cite:botcar:CatesbyHS232.title
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_title_0657-corr	urn:cite:botcar:CatesbyHS232.title
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_toc_0656	urn:cite:botcar:CatesbyHS232.toc
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_toc_0660	urn:cite:botcar:CatesbyHS232.toc
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_toc_0656-corr	urn:cite:botcar:CatesbyHS232.toc
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_toc_0660-corr	urn:cite:botcar:CatesbyHS232.toc
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_001_0658	urn:cite:botcar:CatesbyHS232.001
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_001_0658-corr	urn:cite:botcar:CatesbyHS232.001
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_002_0653	urn:cite:botcar:CatesbyHS232.002
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_002_0653-corr	urn:cite:botcar:CatesbyHS232.002
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_003_0654	urn:cite:botcar:CatesbyHS232.003
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_003_0654-corr	urn:cite:botcar:CatesbyHS232.003
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_004_0652	urn:cite:botcar:CatesbyHS232.004
