labelURN	imageURN
urn:cite:botcar:catesbyLabels.penLabel396.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_082_0575
urn:cite:botcar:catesbyLabels.penLabel85.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_027_0483
urn:cite:botcar:catesbyLabels.penLabel325.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_111_0542
urn:cite:botcar:catesbyLabels.penLabel395.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_018_0492
urn:cite:botcar:catesbyLabels.penLabel424.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_058b_0453
urn:cite:botcar:catesbyLabels.penLabel202.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_072_0584
urn:cite:botcar:catesbyLabels.penLabel18.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_028_0482
urn:cite:botcar:catesbyLabels.penLabel207.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_029_0481
urn:cite:botcar:catesbyLabels.penLabel234.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_085_0578
urn:cite:botcar:catesbyLabels.penLabel420.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_096_0562
urn:cite:botcar:catesbyLabels.penLabel233.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_091_0565
urn:cite:botcar:catesbyLabels.penLabel55.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_098_0558
urn:cite:botcar:catesbyLabels.penOnPage319.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_054_0459
urn:cite:botcar:catesbyLabels.penOnPage370.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_094_0408
urn:cite:botcar:catesbyLabels.penOnPage424.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_058b_0453
urn:cite:botcar:catesbyLabels.penOnPage192.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_006_0499
urn:cite:botcar:catesbyLabels.penOnPage40.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_029_0481
urn:cite:botcar:catesbyLabels.penOnPage363.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_058b_0453
urn:cite:botcar:catesbyLabels.penOnPage390.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_006_0499
urn:cite:botcar:catesbyLabels.penOnPage145.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_053_0458
urn:cite:botcar:catesbyLabels.penOnPage95.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_050_0605
urn:cite:botcar:catesbyLabels.penOnPage169.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_052_0604
urn:cite:botcar:catesbyLabels.penOnPage233.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_091_0565
urn:cite:botcar:catesbyLabels.penOnPage172.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_052_0604
urn:cite:botcar:catesbyLabels.penOnPage234.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_085_0578
urn:cite:botcar:catesbyLabels.penOnPage208.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_047_0470
urn:cite:botcar:catesbyLabels.penOnPage91.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_045_0454
urn:cite:botcar:catesbyLabels.penOnPage266.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486
