urn:cite:botcar:genus.Solidago	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Spermacoce	urn:cite:botcar:family.Rubiaceae
urn:cite:botcar:genus.Spigelia	urn:cite:botcar:family.Loganiaceae
urn:cite:botcar:genus.Sporobolus	urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Stachys	urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Stillingia	urn:cite:botcar:family.Euphorbiaceae
urn:cite:botcar:genus.Stylosanthes	urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Styrax	urn:cite:botcar:family.Styracaceae
urn:cite:botcar:genus.Symphyotrichum	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Taxodium	urn:cite:botcar:family.Cupressaceae
urn:cite:botcar:genus.Tephrosia	urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Teucrium	urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Thalictrum	urn:cite:botcar:family.Ranunculaceae
urn:cite:botcar:genus.Thaspium	urn:cite:botcar:family.Apiaceae
urn:cite:botcar:genus.Tilia	urn:cite:botcar:family.Malvaceae
urn:cite:botcar:genus.Toxicodendron	urn:cite:botcar:family.Anacardiaceae
urn:cite:botcar:genus.Tragia	urn:cite:botcar:family.Euphorbiaceae
urn:cite:botcar:genus.Trautvetteria	urn:cite:botcar:family.Ranunculaceae
urn:cite:botcar:genus.Triantha	urn:cite:botcar:family.Tofieldiaceae
urn:cite:botcar:genus.Trichostema	urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Trilisa	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Trillium	urn:cite:botcar:family.Trilliaceae
urn:cite:botcar:genus.Triodanis	urn:cite:botcar:family.Campanulaceae
urn:cite:botcar:genus.Ulmus	urn:cite:botcar:family.Ulmaceae
urn:cite:botcar:genus.Uniola	urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Vaccinium	urn:cite:botcar:family.Ericaceae
urn:cite:botcar:genus.Vernonia	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Viola	urn:cite:botcar:family.Violaceae
urn:cite:botcar:genus.Vitis	urn:cite:botcar:family.Vitaceae
urn:cite:botcar:genus.Woodwardia	urn:cite:botcar:family.Blechnaceae
urn:cite:botcar:genus.Xyris	urn:cite:botcar:family.Xyridaceae
urn:cite:botcar:genus.Zizania	urn:cite:botcar:family.Poaceae
