familyURN	label	familyName	tsn
urn:cite:botcar:family.Salicaceae	*Salicaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Salicaceae	22443
urn:cite:botcar:family.Sapindaceae	*Sapindaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Sapindaceae	28657
urn:cite:botcar:family.Sarraceniaceae	*Sarraceniaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Sarraceniaceae	21991
urn:cite:botcar:family.Saururaceae	*Saururaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Saururaceae	18219
urn:cite:botcar:family.Selaginellaceae	*Selaginellaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Selaginellaceae	17063
urn:cite:botcar:family.Smilacaceae	*Smilacaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Smilacaceae	43339
urn:cite:botcar:family.Solanaceae	*Solanaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Solanaceae	30411
urn:cite:botcar:family.Styracaceae	*Styracaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Styracaceae	23862
urn:cite:botcar:family.Tetrachondraceae	*Tetrachondraceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Tetrachondraceae	834074
urn:cite:botcar:family.Theaceae	*Theaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Theaceae	21371
urn:cite:botcar:family.Thelypteridaceae	*Thelypteridaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Thelypteridaceae	500085
urn:cite:botcar:family.Tofieldiaceae	*Tofieldiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Tofieldiaceae	810130
urn:cite:botcar:family.Trilliaceae	*Trilliaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Trilliaceae	43054
urn:cite:botcar:family.Ulmaceae	*Ulmaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Ulmaceae	19038
urn:cite:botcar:family.Urticaceae	*Urticaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Urticaceae	19119
urn:cite:botcar:family.Verbenaceae	*Verbenaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Verbenaceae	32064
urn:cite:botcar:family.Violaceae	*Violaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Violaceae	22023
urn:cite:botcar:family.Vitaceae	*Vitaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Vitaceae	28600
urn:cite:botcar:family.Xyridaceae	*Xyridaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Xyridaceae	39095
