speciesURN,tsn,familyURN,genusURN,scientificName,label
urn:cite:botcar:species.Pontederiacordata,tsn:42620,urn:cite:botcar:family.Pontederiaceae,urn:cite:botcar:genus.Pontederia,"Pontederia cordata Linnaeus var. lancifolia (Muhlenberg ex Elliott) Torrey","**Pontederia cordata Linnaeus var. lancifolia (Muhlenberg ex Elliott) Torrey**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Populusdeltoides,tsn:22445,urn:cite:botcar:family.Salicaceae,urn:cite:botcar:genus.Populus,"Populus deltoides Bartram ex Marsh.","**Populus deltoides Bartram ex Marsh.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Populusheterophylla,tsn:22465,urn:cite:botcar:family.Salicaceae,urn:cite:botcar:genus.Populus,"Populus heterophylla L.","**Populus heterophylla L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Prenanthesautumnalis,tsn:38275,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Prenanthes,"Prenanthes autumnalis Walter","**Prenanthes autumnalis Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Prenanthesserpentaria,tsn:38286,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Prenanthes,"Prenanthes serpentaria Pursh","**Prenanthes serpentaria Pursh**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Prunellavulgaris,tsn:32381,urn:cite:botcar:family.Lamiaceae,urn:cite:botcar:genus.Prunella,"Prunella vulgaris Linnaeus var. lanceolata (W. Barton) Fernald","**Prunella vulgaris Linnaeus var. lanceolata (W. Barton) Fernald**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Prunuscaroliniana,tsn:24771,urn:cite:botcar:family.Rosaceae,urn:cite:botcar:genus.Prunus,"Prunus caroliniana Aiton","**Prunus caroliniana Aiton**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Prunusumbellata,tsn:24805,urn:cite:botcar:family.Rosaceae,urn:cite:botcar:genus.Prunus,"Prunus umbellata Elliott","**Prunus umbellata Elliott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Pseudognaphaliumobtusifolium,tsn:507657,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Pseudognaphalium,"Pseudognaphalium obtusifolium (L.) Hilliard & B.L. Burtt","**Pseudognaphalium obtusifolium (L.) Hilliard & B.L. Burtt**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Pteleatrifoliata,tsn:28992,urn:cite:botcar:family.Rutaceae,urn:cite:botcar:genus.Ptelea,"Ptelea trifoliata L.","**Ptelea trifoliata L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Ptilimniumcapillaceum,tsn:29551,urn:cite:botcar:family.Apiaceae,urn:cite:botcar:genus.Ptilimnium,"Ptilimnium capillaceum (Michaux) Rafinesque","**Ptilimnium capillaceum (Michaux) Rafinesque**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Pycnanthemumflexuosum,tsn:32660,urn:cite:botcar:family.Lamiaceae,urn:cite:botcar:genus.Pycnanthemum,"Pycnanthemum flexuosum (Walter) Britton, Sterns & Poggenb.","**Pycnanthemum flexuosum (Walter) Britton, Sterns & Poggenb.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Pycnanthemumpycnanthemoides,tsn:32667,urn:cite:botcar:family.Lamiaceae,urn:cite:botcar:genus.Pycnanthemum,"Pycnanthemum pycnanthemoides (Leavenworth) Fernald var. pycnanthemoides","**Pycnanthemum pycnanthemoides (Leavenworth) Fernald var. pycnanthemoides**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Quercusalba,tsn:19290,urn:cite:botcar:family.Fagaceae,urn:cite:botcar:genus.Quercus,"Quercus alba L.","**Quercus alba L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Quercusincana,tsn:19360,urn:cite:botcar:family.Fagaceae,urn:cite:botcar:genus.Quercus,"Quercus incana Bartram","**Quercus incana Bartram**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Quercuslaevis,tsn:19367,urn:cite:botcar:family.Fagaceae,urn:cite:botcar:genus.Quercus,"Quercus laevis Walter","**Quercus laevis Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Quercusmarilandica,tsn:19374,urn:cite:botcar:family.Fagaceae,urn:cite:botcar:genus.Quercus,"Quercus marilandica Muenchh.","**Quercus marilandica Muenchh.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Quercusmichauxii,tsn:19279,urn:cite:botcar:family.Fagaceae,urn:cite:botcar:genus.Quercus,"Quercus michauxii Nutt.","**Quercus michauxii Nutt.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Quercusnigra,tsn:19280,urn:cite:botcar:family.Fagaceae,urn:cite:botcar:genus.Quercus,"Quercus nigra L.","**Quercus nigra L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Quercusphellos,tsn:19282,urn:cite:botcar:family.Fagaceae,urn:cite:botcar:genus.Quercus,"Quercus phellos L.","**Quercus phellos L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Quercusvirginiana,tsn:19283,urn:cite:botcar:family.Fagaceae,urn:cite:botcar:genus.Quercus,"Quercus virginiana Mill.","**Quercus virginiana Mill.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Rhexiaalifanus,tsn:27687,urn:cite:botcar:family.Melastomataceae,urn:cite:botcar:genus.Rhexia,"Rhexia alifanus Walter","**Rhexia alifanus Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Rhexiavirginica,tsn:27686,urn:cite:botcar:family.Melastomataceae,urn:cite:botcar:genus.Rhexia,"Rhexia virginica L.","**Rhexia virginica L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Rhynchosiatomentosa,tsn:504773,urn:cite:botcar:family.Fabaceae,urn:cite:botcar:genus.Rhynchosia,"Rhynchosia tomentosa (Linnaeus) Hooker & Arnott","**Rhynchosia tomentosa (Linnaeus) Hooker & Arnott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Rhynchosporacolorata,tsn:504777,urn:cite:botcar:family.Cyperaceae,urn:cite:botcar:genus.Rhynchospora,"Rhynchospora colorata (L.) H. Pfeiffer","**Rhynchospora colorata (L.) H. Pfeiffer**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Rhynchosporafascicularis,tsn:40169,urn:cite:botcar:family.Cyperaceae,urn:cite:botcar:genus.Rhynchospora,"Rhynchospora fascicularis (Michaux) Vahl","**Rhynchospora fascicularis (Michaux) Vahl**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Rhynchosporaglomerata,tsn:40174,urn:cite:botcar:family.Cyperaceae,urn:cite:botcar:genus.Rhynchospora,"Rhynchospora glomerata (L.) Vahl","**Rhynchospora glomerata (L.) Vahl**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Rubuspensilvanicus,tsn:504874,urn:cite:botcar:family.Rosaceae,urn:cite:botcar:genus.Rubus,"Rubus pensilvanicus Poiret","**Rubus pensilvanicus Poiret**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Rudbeckiahirta,tsn:36765,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Rudbeckia,"Rudbeckia hirta L.","**Rudbeckia hirta L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Sabatiaangularis,tsn:30005,urn:cite:botcar:family.Gentianaceae,urn:cite:botcar:genus.Sabatia,"Sabatia angularis (L.) Pursh","**Sabatia angularis (L.) Pursh**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Sabatiadifformis,tsn:30012,urn:cite:botcar:family.Gentianaceae,urn:cite:botcar:genus.Sabatia,"Sabatia difformis (Linnaeus) Druce","**Sabatia difformis (Linnaeus) Druce**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Sabatiastellaris,tsn:30004,urn:cite:botcar:family.Gentianaceae,urn:cite:botcar:genus.Sabatia,"Sabatia stellaris Pursh","**Sabatia stellaris Pursh**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Saccharumgiganteum,tsn:504933,urn:cite:botcar:family.Poaceae,urn:cite:botcar:genus.Saccharum,"Saccharum giganteum (Walter) Pers.","**Saccharum giganteum (Walter) Pers.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Salvialyrata,tsn:32690,urn:cite:botcar:family.Lamiaceae,urn:cite:botcar:genus.Salvia,"Salvia lyrata L.","**Salvia lyrata L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Sarraceniaminor,tsn:21999,urn:cite:botcar:family.Sarraceniaceae,urn:cite:botcar:genus.Sarracenia,"Sarracenia minor Walter","**Sarracenia minor Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
