genusURN,genusName,label,tsn,familyURN
urn:cite:botcar:genus.Delphinium,Delphinium,*Delphinium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:18457,urn:cite:botcar:family.Ranunculaceae
urn:cite:botcar:genus.Dioscorea,Dioscorea,*Dioscorea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:43366,urn:cite:botcar:family.Dioscoreaceae
urn:cite:botcar:genus.Diospyros,Diospyros,*Diospyros*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:23853,urn:cite:botcar:family.Ebenaceae
urn:cite:botcar:genus.Dyschoriste,Dyschoriste,*Dyschoriste*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:500252,urn:cite:botcar:family.Acanthaceae
urn:cite:botcar:genus.Echinochloa,Echinochloa,*Echinochloa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:40667,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Echinochloa,Echinochloa,*Echinochloa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:40667,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Eleocharis,Eleocharis,*Eleocharis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:40010,urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Eleocharis,Eleocharis,*Eleocharis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:40010,urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Eleusine,Eleusine,*Eleusine*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:41690,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Endodeca,Endodeca,*Endodeca*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:to be added,urn:cite:botcar:family.Aristolochiaceae
urn:cite:botcar:genus.Epifagus,Epifagus,*Epifagus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:34275,urn:cite:botcar:family.Orobanchaceae
urn:cite:botcar:genus.Erigeron,Erigeron,*Erigeron*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:35803,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Eriocaulon,Eriocaulon,*Eriocaulon*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:39194,urn:cite:botcar:family.Eriocaulaceae
urn:cite:botcar:genus.Eriogonum,Eriogonum,*Eriogonum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:21054,urn:cite:botcar:family.Polygonaceae
urn:cite:botcar:genus.Eryngium,Eryngium,*Eryngium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:29479,urn:cite:botcar:family.Apiaceae
urn:cite:botcar:genus.Eupatorium,Eupatorium,*Eupatorium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:35977,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Eupatorium,Eupatorium,*Eupatorium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:35977,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Eupatorium,Eupatorium,*Eupatorium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:35977,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Eupatorium,Eupatorium,*Eupatorium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:35977,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Eupatorium,Eupatorium,*Eupatorium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:35977,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Eupatorium,Eupatorium,*Eupatorium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:35977,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Eupatorium,Eupatorium,*Eupatorium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:35977,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Eupatorium,Eupatorium,*Eupatorium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:35977,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Euthamia,Euthamia,*Euthamia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:37349,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Eutrochium,Eutrochium,*Eutrochium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:780089,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Fraxinus,Fraxinus,*Fraxinus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32928,urn:cite:botcar:family.Oleaceae
urn:cite:botcar:genus.Fuirena,Fuirena,*Fuirena*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:40130,urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Gaillardia,Gaillardia,*Gaillardia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:37395,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Galactia,Galactia,*Galactia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26683,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Galactia,Galactia,*Galactia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26683,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Galactia,Galactia,*Galactia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26683,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Galactia,Galactia,*Galactia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26683,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Galactia,Galactia,*Galactia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26683,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Galactia,Galactia,*Galactia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26683,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Galactia,Galactia,*Galactia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26683,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Galactia,Galactia,*Galactia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26683,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Gamochaeta,Gamochaeta,*Gamochaeta*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:37416,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Gentiana,Gentiana,*Gentiana*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:29963,urn:cite:botcar:family.Gentianaceae
urn:cite:botcar:genus.Geum,Geum,*Geum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:24644,urn:cite:botcar:family.Rosaceae
urn:cite:botcar:genus.Glandularia,Glandularia,*Glandularia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32171,urn:cite:botcar:family.Verbenaceae
urn:cite:botcar:genus.Gleditsia,Gleditsia,*Gleditsia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26711,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Gordonia,Gordonia,*Gordonia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:21385,urn:cite:botcar:family.Theaceae
urn:cite:botcar:genus.Grass,,,tsn:,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Habenaria,Habenaria,*Habenaria*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:43398,urn:cite:botcar:family.Orchidaceae
urn:cite:botcar:genus.Hamamelis,Hamamelis,*Hamamelis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:19031,urn:cite:botcar:family.Hamamelidaceae
urn:cite:botcar:genus.Helenium,Helenium,*Helenium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:36005,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Helianthus,Helianthus,*Helianthus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:36611,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Heliopsis,Heliopsis,*Heliopsis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:37604,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Hibiscus,Hibiscus,*Hibiscus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:21611,urn:cite:botcar:family.Malvaceae
urn:cite:botcar:genus.Hydrangea,Hydrangea,*Hydrangea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:24194,urn:cite:botcar:family.Hydrangeaceae
urn:cite:botcar:genus.Hylodesmum,Hylodesmum,*Hylodesmum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:to be added,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Hypericum,Hypericum,*Hypericum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:21416,urn:cite:botcar:family.Hypericaceae
urn:cite:botcar:genus.Hyptis,Hyptis,*Hyptis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32522,urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Ilex,Ilex,*Ilex*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:27980,urn:cite:botcar:family.Aquifoliaceae
urn:cite:botcar:genus.Impatiens,Impatiens,*Impatiens*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:29181,urn:cite:botcar:family.Balsaminaceae
urn:cite:botcar:genus.Indigofera,Indigofera,*Indigofera*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26738,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Ipomoea,Ipomoea,*Ipomoea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:30758,urn:cite:botcar:family.Convolvulaceae
urn:cite:botcar:genus.Ipomoea,Ipomoea,*Ipomoea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:30758,urn:cite:botcar:family.Convolvulaceae
urn:cite:botcar:genus.Ipomoea,Ipomoea,*Ipomoea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:30758,urn:cite:botcar:family.Convolvulaceae
urn:cite:botcar:genus.Ipomoea,Ipomoea,*Ipomoea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:30758,urn:cite:botcar:family.Convolvulaceae
urn:cite:botcar:genus.Ipomoea,Ipomoea,*Ipomoea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:30758,urn:cite:botcar:family.Convolvulaceae
