SpecimenURN,ScientificName,SpeciesURN,ImageURN,ROI
urn:cite:botcar:sloane.23,Catesby Specimen 23: Coreopsis major Walter var. major,urn:cite:botcar:species.Coreopsismajor,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_033_0472,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_033_0472@0.565,0.0714,0.409,0.745"
urn:cite:botcar:sloane.25,Catesby Specimen 25: Helenium flexuosum Raf.,urn:cite:botcar:species.Heleniumflexuosum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_033_0472,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_033_0472@0.0432,0.136,0.445,0.77"
urn:cite:botcar:sloane.20,Catesby Specimen 20: Berlandiera pumila (Michx) Nutt.,urn:cite:botcar:species.Berlandierapumila,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_034_0477,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_034_0477@0.0536,0.0278,0.374,0.664"
urn:cite:botcar:sloane.404,Catesby Specimen 404: Euthamia caroliniana (Linnaeus) Greene ex Porter & Britton,urn:cite:botcar:species.Euthamiacaroliniana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_040_0621,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_040_0621@0.344,0.155,0.363,0.675"
urn:cite:botcar:sloane.423,Catesby Specimen 423: Gaillardia aestivalis (Walter) H. Rock var. aestivalis,urn:cite:botcar:species.Gaillardiaaestivalis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_040_0457,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_040_0457@0.0774,0.0407,0.58,0.771"
urn:cite:botcar:sloane.210,Catesby Specimen 210: Liatris elegans (Walter) Michaux,urn:cite:botcar:species.Liatriselegans,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_040_0621,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_040_0621@0.144,0.144,0.241,0.721"
urn:cite:botcar:sloane.181,Catesby Specimen 181: Trilisa paniculata (J.F. Gmelin) Cassini,urn:cite:botcar:species.Trilisapaniculata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_040_0621,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_040_0621@0.644,0.165,0.229,0.692"
urn:cite:botcar:sloane.427,Catesby Specimen 427: Ampelaster carolinianus (Walter) G.L. Nesom,urn:cite:botcar:species.Ampelastercarolinianus,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_041_0617,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_041_0617@0.186,0.117,0.695,0.428"
urn:cite:botcar:sloane.58,Catesby Specimen 58: Chrysopsis gossypina (Michaux) Elliott,urn:cite:botcar:species.Chrysopsisgossypina,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_042_0619,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_042_0619@0.574,0.205,0.208,0.566"
urn:cite:botcar:sloane.64,Catesby Specimen 64: Chrysopsis mariana (L.) Elliott,urn:cite:botcar:species.Chrysopsismariana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_042_0619,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_042_0619@0.183,0.146,0.26,0.62"
urn:cite:botcar:sloane.179,Catesby Specimen 179: Liatris squarrulosa Michx.,urn:cite:botcar:species.Liatrissquarrulosa,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_042_0619,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_042_0619@0.412,0.13,0.213,0.774"
urn:cite:botcar:sloane.93,Catesby Specimen 93: Coreopsis major Walter var. major,urn:cite:botcar:species.Coreopsismajor,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_048_0608,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_048_0608@0.146,0.109,0.348,0.753"
urn:cite:botcar:sloane.338,Catesby Specimen 338: Eupatorium capillifolium (Lamarck) Small,urn:cite:botcar:species.Eupatoriumcapillifolium,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_049_0609,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_049_0609@0.141,0.185,0.241,0.674"
urn:cite:botcar:sloane.257,Catesby Specimen 257: Eutrochium dubium (Willdenow ex Poiret) E.E. Lamont,urn:cite:botcar:species.Eutrochiumdubium,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_049_0461,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_049_0461@0.39,0.0933,0.606,0.758"
urn:cite:botcar:sloane.173,Catesby Specimen 173: Rudbeckia hirta L.,urn:cite:botcar:species.Rudbeckiahirta,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_049_0609,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_049_0609@0.323,0.246,0.543,0.56"
urn:cite:botcar:sloane.344,Catesby Specimen 344: Pluchea foetida (L.) A.P. de Candolle,urn:cite:botcar:species.Plucheafoetida,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_051_0468,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_051_0468@0.107,0.0437,0.378,0.745"
urn:cite:botcar:sloane.176,Catesby Specimen 176: Marshallia graminifolia (Walter) Small,urn:cite:botcar:species.Marshalliagraminifolia,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_053_0458,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_053_0458@0.0863,0.0427,0.406,0.921"
urn:cite:botcar:sloane.104,Catesby Specimen 104: Liatris squarrosa (L.) Michx. var. squarrosa,urn:cite:botcar:species.Liatrissquarrosa,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_054_0459,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_054_0459@0.314,0.0714,0.338,0.58"
urn:cite:botcar:sloane.129,Catesby Specimen 129: Solidago petiolaris Aiton var. petiolaris,urn:cite:botcar:species.Solidagopetiolaris,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_063_0593,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_063_0593@0.549,0.14,0.284,0.747"
urn:cite:botcar:sloane.140,Catesby Specimen 140: Chrysopsis mariana (L.) Elliott,urn:cite:botcar:species.Chrysopsismariana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_064_0594,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_064_0594@0.238,0.184,0.289,0.676"
urn:cite:botcar:sloane.291,Catesby Specimen 291: Symphyotrichum concolor (Linnaeus) Nesom var. concolor,urn:cite:botcar:species.Symphyotrichumconcolor,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_064_0594,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_064_0594@0.519,0.156,0.241,0.688"
urn:cite:botcar:sloane.154,Catesby Specimen 154: Vernonia gigantea (Walter) Trelease,urn:cite:botcar:species.Vernoniagigantea,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_066_0590,""
urn:cite:botcar:sloane.333,Catesby Specimen 333: Pityopsis graminifolia (Michx.) Nutt. var. latifolia (Fernald) Semple & F.D. Bowers,urn:cite:botcar:species.Pityopsisgraminifolia,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_072_0428,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_072_0428@0.173,0.116,0.461,0.792"
