"speciesURN","scientificNameText",tsn
"urn:cite:botcar:species.Pteleatrifoliata","Ptelea trifoliata L.",28992
"urn:cite:botcar:species.Ptilimniumcapillaceum","Ptilimnium capillaceum (Michaux) Rafinesque",29551
"urn:cite:botcar:species.Pycnanthemumflexuosum","Pycnanthemum flexuosum (Walter) Britton, Sterns & Poggenb.",32660
"urn:cite:botcar:species.Pycnanthemumpycnanthemoides","Pycnanthemum pycnanthemoides (Leavenworth) Fernald var. pycnanthemoides",32667
"urn:cite:botcar:species.Quercusalba","Quercus alba L.",19290
"urn:cite:botcar:species.Quercusincana","Quercus incana Bartram",19360
"urn:cite:botcar:species.Quercuslaevis","Quercus laevis Walter",19367
"urn:cite:botcar:species.Quercusmarilandica","Quercus marilandica Muenchh.",19374
"urn:cite:botcar:species.Quercusmichauxii","Quercus michauxii Nutt.",19279
"urn:cite:botcar:species.Quercusnigra","Quercus nigra L.",19280
"urn:cite:botcar:species.Quercusphellos","Quercus phellos L.",19282
"urn:cite:botcar:species.Quercusvirginiana","Quercus virginiana Mill.",19283
"urn:cite:botcar:species.Rhexiaalifanus","Rhexia alifanus Walter",27687
"urn:cite:botcar:species.Rhexiavirginica","Rhexia virginica L.",27686
"urn:cite:botcar:species.Rhynchosiatomentosa","Rhynchosia tomentosa (Linnaeus) Hooker & Arnott",504773
"urn:cite:botcar:species.Rhynchosporacolorata","Rhynchospora colorata (L.) H. Pfeiffer",504777
"urn:cite:botcar:species.Rhynchosporafascicularis","Rhynchospora fascicularis (Michaux) Vahl",40169
"urn:cite:botcar:species.Rhynchosporaglomerata","Rhynchospora glomerata (L.) Vahl",40174
"urn:cite:botcar:species.Rubuspensilvanicus","Rubus pensilvanicus Poiret",504874
"urn:cite:botcar:species.Rudbeckiahirta","Rudbeckia hirta L.",36765
"urn:cite:botcar:species.Sabatiaangularis","Sabatia angularis (L.) Pursh",30005
"urn:cite:botcar:species.Sabatiadifformis","Sabatia difformis (Linnaeus) Druce",30012
