"specimenURN","name"
"urn:cite:botcar:sloane.388","Catesby Specimen 388: Sabatia angularis (L.) Pursh"
"urn:cite:botcar:sloane.355","Catesby Specimen 355: Gentiana catesbaei Walter"
"urn:cite:botcar:sloane.97","Catesby Specimen 97: Lachnanthes caroliniana (Lamarck) Dandy"
"urn:cite:botcar:sloane.238","Catesby Specimen 238: Hamamelis virginiana L."
"urn:cite:botcar:sloane.63","Catesby Specimen 63: Philadelphus inodorus L."
"urn:cite:botcar:sloane.15","Catesby Specimen 15: Hydrangea arborescens L."
"urn:cite:botcar:sloane.65","Catesby Specimen 65: Hydrangea radiata Walter"
"urn:cite:botcar:sloane.177","Catesby Specimen 177: Hypericum crux-andreae (L.) Crantz"
"urn:cite:botcar:sloane.197","Catesby Specimen 197: Hypericum walteri J.G. Gmelin"
"urn:cite:botcar:sloane.417","Catesby Specimen 417: Itea virginica L."
"urn:cite:botcar:sloane.376","Catesby Specimen 376: Itea virginica L."
"urn:cite:botcar:sloane.117","Catesby Specimen 117: Carya tomentosa (Lamarck ex Poiret) Nuttall"
"urn:cite:botcar:sloane.105","Catesby Specimen 105: Carya tomentosa (Lamarck ex Poiret) Nuttall"
"urn:cite:botcar:sloane.180","Catesby Specimen 180: Carya tomentosa (Lamarck ex Poiret) Nuttall"
"urn:cite:botcar:sloane.11","Catesby Specimen 11: Juncus scirpoides Lam."
"urn:cite:botcar:sloane.411","Catesby Specimen 411: Monarda punctata L."
"urn:cite:botcar:sloane.26","Catesby Specimen 26: Physostegia purpurea (Walter) Blake"
"urn:cite:botcar:sloane.31","Catesby Specimen 31: Lamiaceae"
"urn:cite:botcar:sloane.249","Catesby Specimen 249: Pycnanthemum flexuosum (Walter) Britton"
"urn:cite:botcar:sloane.43","Catesby Specimen 43: Salvia lyrata L."
"urn:cite:botcar:sloane.318","Catesby Specimen 318: Pycnanthemum pycnanthemoides (Leavenworth) Fernald var. pycnanthemoides"
"urn:cite:botcar:sloane.85","Catesby Specimen 85: Scutellaria elliptica Muhl. ex Spreng."
"urn:cite:botcar:sloane.207","Catesby Specimen 207: Stachys indet."
"urn:cite:botcar:sloane.375","Catesby Specimen 375: Teucrium canadense L."
"urn:cite:botcar:sloane.92","Catesby Specimen 92: Hyptis alata (Raf.) Shinners"
"urn:cite:botcar:sloane.209","Catesby Specimen 209: Monarda punctata L."
"urn:cite:botcar:sloane.17","Catesby Specimen 17: Pycnanthemum flexuosum (Walter) BSP"
"urn:cite:botcar:sloane.35","Catesby Specimen 35: Monarda punctata L."
"urn:cite:botcar:sloane.235","Catesby Specimen 235: Salvia lyrata L."
"urn:cite:botcar:sloane.42","Catesby Specimen 42: Prunella vulgaris Linnaeus var. lanceolata (W. Barton) Fernald"
"urn:cite:botcar:sloane.162","Catesby Specimen 162: Trichostema dichotomum L."
"urn:cite:botcar:sloane.126","Catesby Specimen 126: Collinsonia canadensis L."
"urn:cite:botcar:sloane.146","Catesby Specimen 146: Pycnanthemum flexuosum (Walter) Britton"
"urn:cite:botcar:sloane.52","Catesby Specimen 52: Lamiaceae"
"urn:cite:botcar:sloane.310","Catesby Specimen 310: Collinsonia tuberosa Michx."
"urn:cite:botcar:sloane.315","Catesby Specimen 315: Lycopus virginicus L."
"urn:cite:botcar:sloane.14","Catesby Specimen 14: Persea palustris (Rafinesque) Sargent"
"urn:cite:botcar:sloane.113","Catesby Specimen 113: Litsea aestivalis (L.) Fernald"
"urn:cite:botcar:sloane.296","Catesby Specimen 296: Persea borbonia (Linnaeus) Sprengel"
"urn:cite:botcar:sloane.182","Catesby Specimen 182: Medeola virginiana L."
"urn:cite:botcar:sloane.48","Catesby Specimen 48: Lilium catesbaei Walter"
"urn:cite:botcar:sloane.263","Catesby Specimen 263: Spigelia marilandica (L.) L."
"urn:cite:botcar:sloane.224","Catesby Specimen 224: Lycopodiella alopecuroides (L.) Cranfill"
"urn:cite:botcar:sloane.389","Catesby Specimen 389: Liriodendron tulipifera L."
"urn:cite:botcar:sloane.50","Catesby Specimen 50: Hibiscus moscheutos L. ibiscus moscheutos L"
"urn:cite:botcar:sloane.352","Catesby Specimen 352: Sida rhombifolia L."
"urn:cite:botcar:sloane.184","Catesby Specimen 184: Sida rhombifolia L."
"urn:cite:botcar:sloane.127","Catesby Specimen 127: Tilia americana L. var. heterophylla (Vent.) Louden"
"urn:cite:botcar:sloane.362","Catesby Specimen 362: Kosteletzkya pentacarpos (Linnaeus) Ledebour"
"urn:cite:botcar:sloane.255","Catesby Specimen 255: Melanthium hybridum Walter"
"urn:cite:botcar:sloane.270","Catesby Specimen 270: Amianthium muscitoxicum (Walter) A. Gray"
"urn:cite:botcar:sloane.283","Catesby Specimen 283: Melanthium hybridum Walter"
"urn:cite:botcar:sloane.348","Catesby Specimen 348: Amianthium muscitoxicum (Walter) A. Gray"
"urn:cite:botcar:sloane.94","Catesby Specimen 94: Rhexia alifanus Walter"
"urn:cite:botcar:sloane.397","Catesby Specimen 397: Rhexia virginica L."
"urn:cite:botcar:sloane.258","Catesby Specimen 258: Rhexia alifanus Walter"
