genusURN,genusName,familyURN,tsnID,label
urn:cite:botcar:genus.Ilex,Ilex,urn:cite:botcar:family.Aquifoliaceae,to be added,*Ilex*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Impatiens,Impatiens,urn:cite:botcar:family.Balsaminaceae,to be added,*Impatiens*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Indigofera,Indigofera,urn:cite:botcar:family.Fabaceae,to be added,*Indigofera*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Ipomoea,Ipomoea,urn:cite:botcar:family.Convolvulaceae,to be added,*Ipomoea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Ipomoea,Ipomoea,urn:cite:botcar:family.Convolvulaceae,to be added,*Ipomoea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Ipomopsis,Ipomopsis,urn:cite:botcar:family.Polemoniaceae,to be added,*Ipomopsis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Itea,Itea,urn:cite:botcar:family.Iteaceae,to be added,*Itea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Juncus,Juncus,urn:cite:botcar:family.Juncaceae,to be added,*Juncus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Kalmia,Kalmia,urn:cite:botcar:family.Ericaceae,to be added,*Kalmia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Kosteletzkya,Kosteletzkya,urn:cite:botcar:family.Malvaceae,to be added,*Kosteletzkya*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Lachnanthes,Lachnanthes,urn:cite:botcar:family.Haemodoraceae,to be added,*Lachnanthes*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Lactuca,Lactuca,urn:cite:botcar:family.Asteraceae,to be added,*Lactuca*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Lamiaceae,Lamiaceae,urn:cite:botcar:family.Lamiaceae,to be added,*Lamiaceae*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Laportea,Laportea,urn:cite:botcar:family.Urticaceae,to be added,*Laportea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Leptochloa,Leptochloa,urn:cite:botcar:family.Poaceae,to be added,*Leptochloa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Lespedeza,Lespedeza,urn:cite:botcar:family.Fabaceae,to be added,*Lespedeza*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
