SpecimenURN (Provisional)	ImageURN	Volume	Sheet	VersionName	Family	Michaux Name	Modern Name	Location	Annotations	Field 2	Type	Linnaean Class	Linneaen Genus	Linnaean Order	Flora
urn:cite2:botcar:michaux.2017a:18a_15a	urn:cite2:fufolio:botcar.2017a:Michaux1941	18a	15a	michx-Vol18a-15a-23-03-51-21											
urn:cite2:botcar:michaux.2017a:18a_15b	urn:cite2:fufolio:botcar.2017a:Michaux1942	18a	15b	michx-Vol18a-15b-23-03-51-27											
urn:cite2:botcar:michaux.2017a:18a_16	urn:cite2:fufolio:botcar.2017a:Michaux1943	18a	16	michx-Vol18a-16-23-03-51-42											
urn:cite2:botcar:michaux.2017a:18a_17	urn:cite2:fufolio:botcar.2017a:Michaux1944	18a	17	michx-Vol18a-17-23-03-52-02											
urn:cite2:botcar:michaux.2017a:18a_18	urn:cite2:fufolio:botcar.2017a:Michaux1945	18a	18	michx-Vol18a-18-23-03-52-14											
urn:cite2:botcar:michaux.2017a:18a_19	urn:cite2:fufolio:botcar.2017a:Michaux1946	18a	19	michx-Vol18a-19-23-03-52-23											
urn:cite2:botcar:michaux.2017a:18a_20	urn:cite2:fufolio:botcar.2017a:Michaux1947	18a	20	michx-Vol18a-20-23-03-52-31											
urn:cite2:botcar:michaux.2017a:18a_21	urn:cite2:fufolio:botcar.2017a:Michaux1948	18a	21	michx-Vol18a-21-23-03-52-42											
urn:cite2:botcar:michaux.2017a:18a_22	urn:cite2:fufolio:botcar.2017a:Michaux1949	18a	22	michx-Vol18a-22-23-03-53-00											
urn:cite2:botcar:michaux.2017a:18a_23	urn:cite2:fufolio:botcar.2017a:Michaux1950	18a	23	michx-Vol18a-23-23-03-53-09											
urn:cite2:botcar:michaux.2017a:18a_24	urn:cite2:fufolio:botcar.2017a:Michaux1951	18a	24	michx-Vol18a-24-23-03-53-25											
urn:cite2:botcar:michaux.2017a:18a_25	urn:cite2:fufolio:botcar.2017a:Michaux1952	18a	25	michx-Vol18a-25-23-03-53-41											
urn:cite2:botcar:michaux.2017a:18a_25a	urn:cite2:fufolio:botcar.2017a:Michaux1953	18a	25a	michx-Vol18a-25a-23-03-53-53											
urn:cite2:botcar:michaux.2017a:18a_25b	urn:cite2:fufolio:botcar.2017a:Michaux1954	18a	25b	michx-Vol18a-25b-23-03-53-57											
urn:cite2:botcar:michaux.2017a:18a_25c	urn:cite2:fufolio:botcar.2017a:Michaux1955	18a	25c	michx-Vol18a-25c-23-03-54-03											
urn:cite2:botcar:michaux.2017a:18a_26	urn:cite2:fufolio:botcar.2017a:Michaux1957	18a	26	michx-Vol18a-26-23-03-54-32											
urn:cite2:botcar:michaux.2017a:18a_26a	urn:cite2:fufolio:botcar.2017a:Michaux1956	18a	26a	michx-Vol18a-26a-23-03-54-24											
urn:cite2:botcar:michaux.2017a:18a_26b	urn:cite2:fufolio:botcar.2017a:Michaux1958	18a	26b	michx-Vol18a-26b-23-03-54-41											
